"","Veh_Mock_R1","Veh_Mock_R2","Veh_Mock_R3","Amp_Mock_R1","Amp_Mock_R2","Amp_Mock_R3","Amp_Tri_R1","Amp_Tri_R2","Amp_Tri_R3"
"18570",3271,3968,3872,3869,3438,4591,3275,4183,3225
"18571",11876,14931,14045,13317,11785,15904,10183,12526,8991
"18572",1499,1705,1834,1593,1500,1921,2156,2605,1854
"18573",1,2,2,3,0,1,2,1,2
"18574",138,124,147,105,81,130,150,213,147
"18575",42,38,41,34,36,49,34,41,25
"18576",392,485,482,382,380,493,470,542,318
"18577",96,110,128,84,65,90,164,221,127
"18578",32,57,55,23,38,37,34,81,38
"18582",532,606,629,611,512,707,597,815,606
"18583",834,940,1048,1257,1219,1632,1042,1304,943
"18584",272,264,319,263,206,319,244,315,199
"18585",5079,7830,7445,5058,4781,6112,5336,6945,5507
"18587",3,0,1,2,5,1,1,1,0
"18588",8,3,10,2,4,3,3,8,7
"18590",812,1007,1038,1407,1388,1710,911,1168,1179
"18591",31,29,24,7,9,18,21,29,9
"18595",1,1,3,3,1,3,3,3,7
"18596",157,233,161,317,260,334,204,260,183
"18597",5988,7812,7205,7138,6607,8760,6215,7665,5666
"18598",0,0,0,0,0,0,0,0,0
"18599",0,3,1,0,0,2,0,1,1
"18600",512,520,709,224,217,282,288,458,211
"18601",0,0,1,0,0,2,1,2,1
"18602",9,5,2,6,1,2,7,18,4
"18604",3179,3437,3568,4106,3821,4562,2963,3997,2727
"18605",459,587,545,327,322,410,541,688,455
"18606",0,0,0,0,0,1,0,0,0
"18607",1845,2430,2367,2087,1905,2740,2471,2972,2034
"18609",8,11,11,7,6,3,10,8,10
"18610",0,0,1,2,0,0,0,1,1
"18611",225,294,236,319,279,354,306,443,301
"18612",263,427,305,250,213,241,175,265,134
"18613",291,347,374,47,52,66,90,173,114
"18616",13,15,22,20,9,23,20,22,10
"18617",0,0,0,0,0,0,0,0,0
"18618",126,91,119,128,116,116,67,110,73
"18619",51,19,54,171,141,316,93,152,140
"18624",1499,1958,1831,1873,1596,2209,1465,1766,1434
"18626",1381,1313,1575,1378,1286,1876,884,1025,689
"18627",950,864,1261,936,926,1466,822,856,600
"18628",802,628,982,691,741,1136,540,582,466
"18630",0,0,0,0,0,0,0,0,0
"18631",389,486,518,528,500,596,559,769,579
"18632",856,1021,1162,984,924,1087,928,1288,1083
"18633",2013,2043,2257,1846,1781,2241,1682,1972,1726
"18634",1738,1872,2038,1747,1648,2294,1401,1688,1532
"18636",41,55,52,41,43,58,52,81,49
"18637",1144,1192,1276,1221,1153,1335,1161,1569,1233
"18639",65,84,62,70,65,103,74,94,53
"18640",1858,2502,2296,2244,2127,3191,2025,2489,1944
"18641",35135,35751,40378,27757,26052,32683,23975,28386,24103
"18642",661,618,709,551,536,647,754,1040,834
"18643",34392,37305,38291,36321,30801,37454,28484,37153,29797
"18645",20,17,33,40,36,47,93,155,110
"18646",5,4,5,1,11,12,5,7,12
"18647",56,74,45,54,52,69,65,90,42
"18648",10467,12083,11473,16835,13431,17496,13952,18422,12539
"18654",0,0,0,0,0,0,0,0,1
"18655",17044,18794,18726,28807,23733,35174,22104,27732,22702
"18663",0,0,0,0,0,0,0,0,0
"18667",0,0,2,0,0,0,0,0,1
"18669",26,21,33,31,26,42,25,40,25
"18670",3,2,4,3,7,5,4,4,3
"18671",40554,55246,56286,32138,28997,41861,23277,30098,21461
"18673",8110,8109,8806,9763,8198,10176,8039,10035,7892
"18674",34888,37296,40751,38186,35156,46929,32273,38018,31416
"18675",14,12,11,6,14,15,9,20,14
"18676",1306,1546,1472,1473,1381,1698,1368,1797,1053
"18679",401,519,499,517,434,667,460,548,383
"18682",3,2,1,3,3,4,4,7,4
"18685",517,553,608,582,555,746,569,623,451
"18689",5,7,4,8,9,16,7,9,10
"18693",1594,1638,1747,1723,1567,1946,1725,2098,1564
"18700",990,1067,1104,1240,1073,1632,1355,1709,1190
"18701",434,502,465,485,463,512,505,764,483
"18703",142405,152115,150862,121369,111515,139456,129807,167194,113416
"18704",2085,2853,2803,2618,2425,3789,3160,3833,2918
"18705",3,2,4,6,9,12,3,8,5
"18706",1481,1761,1754,1589,1525,2107,1593,2043,1535
"18707",265,265,336,198,230,374,374,690,297
"18708",3525,4314,4171,3912,3873,4884,3848,5309,3466
"18709",2019,2294,2240,3039,2711,3172,2466,3381,2342
"18710",979,1024,987,1145,1046,1330,984,1154,880
"18711",695,864,867,799,827,1155,960,1096,822
"18712",566,625,556,531,497,672,462,727,445
"18715",165,167,173,215,183,283,203,221,145
"18716",0,0,0,0,0,0,0,0,0
"18717",1560,1755,1768,2084,1850,2283,2247,3190,1943
"18718",53,80,87,83,94,123,135,193,113
"18719",2506,3029,2706,3558,3235,4061,2743,3243,2340
"18720",782,940,931,917,897,1118,813,1123,883
"18722",0,2,0,2,0,0,0,1,0
"18725",0,2,0,2,5,2,0,1,0
"18726",0,0,1,1,0,0,0,2,0
"18729",0,0,0,1,0,0,0,0,0
"18733",5,0,2,2,3,6,1,0,3
"18736",1,2,0,0,2,0,0,1,0
"18738",8180,10014,9648,10430,9238,12182,9643,12044,9535
"18739",1095,1329,1165,852,819,926,1511,2055,1413
"18740",19,130,37,7,31,6,19,23,5
"18741",12840,11030,12902,11160,10256,13078,11708,16297,12111
"18742",0,1,0,0,0,1,1,1,2
"18744",2293,2847,2750,3442,2973,3627,3231,4502,3373
"18746",45372,45892,48222,68163,58972,77745,52933,67322,55812
"18747",2332,2859,2670,2514,2233,2782,2593,3586,2377
"18749",433,508,614,577,581,875,875,1337,841
"18750",2637,3800,3226,3997,3424,4619,3555,4434,3033
"18751",60,49,76,53,86,102,111,188,92
"18752",19,15,16,22,14,20,22,33,12
"18753",8734,10085,10228,9065,8508,10332,7496,9634,7221
"18754",806,996,1001,1018,995,1306,936,1179,942
"18755",223,251,301,171,206,312,308,486,262
"18759",4862,6224,5641,5274,4765,6259,4796,6457,4625
"18760",0,2,1,1,0,0,0,0,0
"18761",124,152,141,125,111,188,158,215,140
"18762",4038,4414,4583,4396,4345,5221,3744,4880,3739
"18763",735,719,839,801,917,1235,755,874,627
"18764",359,429,442,422,417,508,420,442,331
"18766",51,48,47,28,26,38,53,74,54
"18767",80,97,81,153,124,183,165,239,136
"18768",141,157,162,148,122,182,140,181,128
"18769",2140,2113,2359,2207,1861,2391,2188,2841,2302
"18770",3414,4211,3683,4838,4314,5367,4177,5656,4073
"18771",525,723,673,643,637,797,764,916,679
"18772",2642,3160,2937,3038,2461,3267,2636,3894,2352
"18775",0,0,0,0,0,0,0,0,0
"18776",0,0,0,0,0,0,0,0,0
"18777",7136,9084,7916,9768,8851,12050,8320,10414,7873
"18778",1,1,0,0,2,0,0,1,1
"18779",9,9,10,14,9,4,6,11,8
"18780",0,5,0,0,0,0,0,0,0
"18781",38,36,53,16,18,6,16,26,18
"18782",7,3,6,5,7,12,14,13,2
"18783",1098,1420,1316,1361,1323,1680,1062,1230,938
"18784",30,39,45,16,14,15,17,36,7
"18786",2033,2606,2406,2594,2301,3021,2631,3322,2508
"18787",16,16,21,14,15,8,20,21,17
"18788",0,0,0,0,0,0,0,0,0
"18789",5037,6768,6171,5841,5286,6796,6021,7936,5275
"18791",1,6,6,5,4,12,7,10,8
"18792",7,5,9,6,11,10,7,20,3
"18793",125,92,70,148,132,175,193,216,138
"18795",164,155,137,152,128,189,90,99,59
"18796",54,58,60,59,55,99,74,133,51
"18797",14374,17697,16383,18482,17072,20772,15434,20135,13839
"18798",94,224,163,186,123,191,157,199,130
"18799",1980,2326,2230,2471,2419,2948,1744,2115,1811
"18802",77,85,125,186,185,227,171,197,177
"18803",553,774,762,788,787,1074,819,955,590
"18805",4588,6357,5862,5865,5291,7334,5154,6469,4635
"18806",925,754,872,824,730,936,815,1030,677
"18807",1053,1135,1246,1020,866,976,1112,1511,1050
"18810",15838,19951,19781,16185,15773,22627,15309,18559,12693
"18811",0,0,0,0,0,0,0,0,0
"18812",0,0,0,0,0,0,0,0,0
"18813",5963,7123,7006,7127,5982,8082,7229,10036,6842
